1155: T4_ARTEFACT_2H_ARCANESTAFF_HELL                                  : Adept's Occult Orb
1179: T4_ARTEFACT_2H_ICECRYSTAL_UNDEAD                                 : Adept's Cursed Frozen Crystal
1180: T4_ARTEFACT_2H_ICEGAUNTLETS_HELL                                 : Adept's Icicle Orb
1181: T4_ARTEFACT_2H_INFERNOSTAFF_MORGANA                              : Adept's Unholy Scroll
1182: T4_ARTEFACT_2H_IRONGAUNTLETS_HELL                                : Adept's Black Leather
1183: T4_ARTEFACT_2H_LONGBOW_UNDEAD                                    : Adept's Ghastly Arrows
1184: T4_ARTEFACT_2H_MACE_MORGANA                                      : Adept's Imbued Mace Head
1185: T4_ARTEFACT_2H_NATURESTAFF_HELL                                  : Adept's Symbol of Blight
1186: T4_ARTEFACT_2H_NATURESTAFF_KEEPER                                : Adept's Preserved Log
1187: T4_ARTEFACT_2H_RAM_KEEPER                                        : Adept's Engraved Log
1188: T4_ARTEFACT_2H_REPEATINGCROSSBOW_UNDEAD                          : Adept's Lost Crossbow Mechanism
1189: T4_ARTEFACT_2H_ROCKSTAFF_KEEPER                                  : Adept's Preserved Rocks
1190: T4_ARTEFACT_2H_SKULLORB_HELL                                     : Adept's Cursed Jawbone
1191: T4_ARTEFACT_2H_TRIDENT_UNDEAD                                    : Adept's Cursed Barbs
1192: T4_ARTEFACT_2H_TWINSCYTHE_HELL                                   : Adept's Hellish Sicklehead Pair
1193: T4_ARTEFACT_MAIN_ARCANESTAFF_UNDEAD                              : Adept's Lost Arcane Crystal
1194: T4_ARTEFACT_MAIN_CURSEDSTAFF_UNDEAD                              : Adept's Lost Cursed Crystal
1195: T4_ARTEFACT_MAIN_FIRESTAFF_KEEPER                                : Adept's Wildfire Orb
1196: T4_ARTEFACT_MAIN_FROSTSTAFF_KEEPER                               : Adept's Hoarfrost Orb
1197: T4_ARTEFACT_MAIN_MACE_HELL                                       : Adept's Infernal Mace Head
1198: T4_ARTEFACT_MAIN_NATURESTAFF_KEEPER                              : Adept's Druidic Inscriptions
1199: T4_ARTEFACT_MAIN_RAPIER_MORGANA                                  : Adept's Hardened Debole
1200: T4_ARTEFACT_MAIN_ROCKMACE_KEEPER                                 : Adept's Runed Rock
1201: T4_ARTEFACT_MAIN_SCIMITAR_MORGANA                                : Adept's Bloodforged Blade
1202: T4_ARTEFACT_MAIN_SPEAR_KEEPER                                    : Adept's Keeper Spearhead
1203: T5_ARTEFACT_2H_ARCANESTAFF_HELL                                  : Expert's Occult Orb
1204: T5_ARTEFACT_2H_BOW_HELL                                          : Expert's Demonic Arrowheads
1205: T5_ARTEFACT_2H_BOW_KEEPER                                        : Expert's Carved Bone
1206: T5_ARTEFACT_2H_CLEAVER_HELL                                      : Expert's Demonic Blade
1207: T5_ARTEFACT_2H_COMBATSTAFF_MORGANA                               : Expert's Reinforced Morgana Pole
1208: T5_ARTEFACT_2H_CROSSBOWLARGE_MORGANA                             : Expert's Alluring Bolts
1209: T5_ARTEFACT_2H_DUALAXE_KEEPER                                    : Expert's Keeper Axeheads
1210: T5_ARTEFACT_2H_DUALCROSSBOW_HELL                                 : Expert's Hellish Bolts
1211: T5_ARTEFACT_2H_DUALHAMMER_HELL                                   : Expert's Hellish Hammer Heads
1212: T5_ARTEFACT_2H_DUALSCIMITAR_UNDEAD                               : Expert's Cursed Blades
1213: T5_ARTEFACT_2H_DUALSICKLE_UNDEAD                                 : Expert's Ghastly Blades
1214: T5_ARTEFACT_2H_ENIGMATICORB_MORGANA                              : Expert's Possessed Catalyst
1215: T5_ARTEFACT_2H_FIRESTAFF_HELL                                    : Expert's Burning Orb
1216: T5_ARTEFACT_2H_HALBERD_MORGANA                                   : Expert's Morgana Halberd Head
1217: T5_ARTEFACT_2H_HAMMER_UNDEAD                                     : Expert's Ancient Hammer Head
1218: T5_ARTEFACT_2H_HARPOON_HELL                                      : Expert's Infernal Harpoon Tip
1219: T5_ARTEFACT_MAIN_HOLYSTAFF_MORGANA                               : Expert's Possessed Scroll
1220: T5_ARTEFACT_2H_HOLYSTAFF_HELL                                    : Expert's Infernal Scroll
1221: T5_ARTEFACT_2H_HOLYSTAFF_UNDEAD                                  : Expert's Ghastly Scroll
1222: T5_ARTEFACT_2H_ICECRYSTAL_UNDEAD                                 : Expert's Cursed Frozen Crystal
1223: T5_ARTEFACT_2H_ICEGAUNTLETS_HELL                                 : Expert's Icicle Orb
1224: T5_ARTEFACT_2H_INFERNOSTAFF_MORGANA                              : Expert's Unholy Scroll
1225: T5_ARTEFACT_2H_IRONGAUNTLETS_HELL                                : Expert's Black Leather
1226: T5_ARTEFACT_2H_LONGBOW_UNDEAD                                    : Expert's Ghastly Arrows
1227: T5_ARTEFACT_2H_MACE_MORGANA                                      : Expert's Imbued Mace Head
1228: T5_ARTEFACT_2H_NATURESTAFF_HELL                                  : Expert's Symbol of Blight
1229: T5_ARTEFACT_2H_NATURESTAFF_KEEPER                                : Expert's Preserved Log
1230: T5_ARTEFACT_2H_RAM_KEEPER                                        : Expert's Engraved Log
1231: T5_ARTEFACT_2H_REPEATINGCROSSBOW_UNDEAD                          : Expert's Lost Crossbow Mechanism
1232: T5_ARTEFACT_2H_ROCKSTAFF_KEEPER                                  : Expert's Preserved Rocks
1233: T4_ARTEFACT_2H_SCYTHE_HELL                                       : Adept's Hellish Sicklehead
1234: T5_ARTEFACT_2H_SCYTHE_HELL                                       : Expert's Hellish Sicklehead
1235: T6_ARTEFACT_2H_SCYTHE_HELL                                       : Master's Hellish Sicklehead
1236: T7_ARTEFACT_2H_SCYTHE_HELL                                       : Grandmaster's Hellish Sicklehead
1237: T8_ARTEFACT_2H_SCYTHE_HELL                                       : Elder's Hellish Sicklehead
1238: T5_ARTEFACT_2H_SKULLORB_HELL                                     : Expert's Cursed Jawbone
1239: T5_ARTEFACT_2H_TRIDENT_UNDEAD                                    : Expert's Cursed Barbs
1240: T5_ARTEFACT_2H_TWINSCYTHE_HELL                                   : Expert's Hellish Sicklehead Pair
1241: T5_ARTEFACT_MAIN_ARCANESTAFF_UNDEAD                              : Expert's Lost Arcane Crystal
1242: T5_ARTEFACT_MAIN_CURSEDSTAFF_UNDEAD                              : Expert's Lost Cursed Crystal
1243: T5_ARTEFACT_MAIN_FIRESTAFF_KEEPER                                : Expert's Wildfire Orb
1244: T5_ARTEFACT_MAIN_FROSTSTAFF_KEEPER                               : Expert's Hoarfrost Orb
1245: T5_ARTEFACT_MAIN_MACE_HELL                                       : Expert's Infernal Mace Head
1246: T5_ARTEFACT_MAIN_NATURESTAFF_KEEPER                              : Expert's Druidic Inscriptions
1247: T5_ARTEFACT_MAIN_RAPIER_MORGANA                                  : Expert's Hardened Debole
1248: T5_ARTEFACT_MAIN_ROCKMACE_KEEPER                                 : Expert's Runed Rock
1249: T5_ARTEFACT_MAIN_SCIMITAR_MORGANA                                : Expert's Bloodforged Blade
1250: T5_ARTEFACT_MAIN_SPEAR_KEEPER                                    : Expert's Keeper Spearhead
1251: T6_ARTEFACT_2H_ARCANESTAFF_HELL                                  : Master's Occult Orb
1252: T6_ARTEFACT_2H_BOW_HELL                                          : Master's Demonic Arrowheads
1253: T6_ARTEFACT_2H_BOW_KEEPER                                        : Master's Carved Bone
1254: T6_ARTEFACT_2H_CLEAVER_HELL                                      : Master's Demonic Blade
1255: T6_ARTEFACT_2H_COMBATSTAFF_MORGANA                               : Master's Reinforced Morgana Pole
1256: T6_ARTEFACT_2H_CROSSBOWLARGE_MORGANA                             : Master's Alluring Bolts
1257: T6_ARTEFACT_2H_DUALAXE_KEEPER                                    : Master's Keeper Axeheads
1258: T6_ARTEFACT_2H_DUALCROSSBOW_HELL                                 : Master's Hellish Bolts
1259: T6_ARTEFACT_2H_DUALHAMMER_HELL                                   : Master's Hellish Hammer Heads
1260: T6_ARTEFACT_2H_DUALSCIMITAR_UNDEAD                               : Master's Cursed Blades
1261: T6_ARTEFACT_2H_DUALSICKLE_UNDEAD                                 : Master's Ghastly Blades
1262: T6_ARTEFACT_2H_ENIGMATICORB_MORGANA                              : Master's Possessed Catalyst
1263: T6_ARTEFACT_2H_FIRESTAFF_HELL                                    : Master's Burning Orb
1264: T6_ARTEFACT_2H_HALBERD_MORGANA                                   : Master's Morgana Halberd Head
1265: T6_ARTEFACT_2H_HAMMER_UNDEAD                                     : Master's Ancient Hammer Head
1266: T6_ARTEFACT_2H_HARPOON_HELL                                      : Master's Infernal Harpoon Tip
1267: T6_ARTEFACT_MAIN_HOLYSTAFF_MORGANA                               : Master's Possessed Scroll
1268: T6_ARTEFACT_2H_HOLYSTAFF_HELL                                    : Master's Infernal Scroll
1269: T6_ARTEFACT_2H_HOLYSTAFF_UNDEAD                                  : Master's Ghastly Scroll
1270: T6_ARTEFACT_2H_ICECRYSTAL_UNDEAD                                 : Master's Cursed Frozen Crystal
1271: T6_ARTEFACT_2H_ICEGAUNTLETS_HELL                                 : Master's Icicle Orb
1272: T6_ARTEFACT_2H_INFERNOSTAFF_MORGANA                              : Master's Unholy Scroll
1273: T6_ARTEFACT_2H_IRONGAUNTLETS_HELL                                : Master's Black Leather
1274: T6_ARTEFACT_2H_LONGBOW_UNDEAD                                    : Master's Ghastly Arrows
1275: T6_ARTEFACT_2H_MACE_MORGANA                                      : Master's Imbued Mace Head
1276: T6_ARTEFACT_2H_NATURESTAFF_HELL                                  : Master's Symbol of Blight
1277: T6_ARTEFACT_2H_NATURESTAFF_KEEPER                                : Master's Preserved Log
1278: T6_ARTEFACT_2H_RAM_KEEPER                                        : Master's Engraved Log
1279: T6_ARTEFACT_2H_REPEATINGCROSSBOW_UNDEAD                          : Master's Lost Crossbow Mechanism
1280: T6_ARTEFACT_2H_ROCKSTAFF_KEEPER                                  : Master's Preserved Rocks
1281: T6_ARTEFACT_2H_SKULLORB_HELL                                     : Master's Cursed Jawbone
1282: T6_ARTEFACT_2H_TRIDENT_UNDEAD                                    : Master's Cursed Barbs
1283: T6_ARTEFACT_2H_TWINSCYTHE_HELL                                   : Master's Hellish Sicklehead Pair
1284: T6_ARTEFACT_MAIN_ARCANESTAFF_UNDEAD                              : Master's Lost Arcane Crystal
1285: T6_ARTEFACT_MAIN_CURSEDSTAFF_UNDEAD                              : Master's Lost Cursed Crystal
1286: T6_ARTEFACT_MAIN_FIRESTAFF_KEEPER                                : Master's Wildfire Orb
1287: T6_ARTEFACT_MAIN_FROSTSTAFF_KEEPER                               : Master's Hoarfrost Orb
1288: T6_ARTEFACT_MAIN_MACE_HELL                                       : Master's Infernal Mace Head
1289: T6_ARTEFACT_MAIN_NATURESTAFF_KEEPER                              : Master's Druidic Inscriptions
1290: T6_ARTEFACT_MAIN_RAPIER_MORGANA                                  : Master's Hardened Debole
1291: T6_ARTEFACT_MAIN_ROCKMACE_KEEPER                                 : Master's Runed Rock
1292: T6_ARTEFACT_MAIN_SCIMITAR_MORGANA                                : Master's Bloodforged Blade
1293: T6_ARTEFACT_MAIN_SPEAR_KEEPER                                    : Master's Keeper Spearhead
1294: T7_ARTEFACT_2H_ARCANESTAFF_HELL                                  : Grandmaster's Occult Orb
1295: T7_ARTEFACT_2H_BOW_HELL                                          : Grandmaster's Demonic Arrowheads
1296: T7_ARTEFACT_2H_BOW_KEEPER                                        : Grandmaster's Carved Bone
1297: T7_ARTEFACT_2H_CLEAVER_HELL                                      : Grandmaster's Demonic Blade
1298: T7_ARTEFACT_2H_COMBATSTAFF_MORGANA                               : Grandmaster's Reinforced Morgana Pole
1299: T7_ARTEFACT_2H_CROSSBOWLARGE_MORGANA                             : Grandmaster's Alluring Bolts
1300: T7_ARTEFACT_2H_DUALAXE_KEEPER                                    : Grandmaster's Keeper Axeheads
1301: T7_ARTEFACT_2H_DUALCROSSBOW_HELL                                 : Grandmaster's Hellish Bolts
1302: T7_ARTEFACT_2H_DUALHAMMER_HELL                                   : Grandmaster's Hellish Hammer Heads
1303: T7_ARTEFACT_2H_DUALSCIMITAR_UNDEAD                               : Grandmaster's Cursed Blades
1304: T7_ARTEFACT_2H_DUALSICKLE_UNDEAD                                 : Grandmaster's Ghastly Blades
1305: T7_ARTEFACT_2H_ENIGMATICORB_MORGANA                              : Grandmaster's Possessed Catalyst
1306: T7_ARTEFACT_2H_FIRESTAFF_HELL                                    : Grandmaster's Burning Orb
1307: T7_ARTEFACT_2H_HALBERD_MORGANA                                   : Grandmaster's Morgana Halberd Head
1308: T7_ARTEFACT_2H_HAMMER_UNDEAD                                     : Grandmaster's Ancient Hammer Head
1309: T7_ARTEFACT_2H_HARPOON_HELL                                      : Grandmaster's Infernal Harpoon Tip
1310: T7_ARTEFACT_MAIN_HOLYSTAFF_MORGANA                               : Grandmaster's Possessed Scroll
1311: T7_ARTEFACT_2H_HOLYSTAFF_HELL                                    : Grandmaster's Infernal Scroll
1312: T7_ARTEFACT_2H_HOLYSTAFF_UNDEAD                                  : Grandmaster's Ghastly Scroll
1313: T7_ARTEFACT_2H_ICECRYSTAL_UNDEAD                                 : Grandmaster's Cursed Frozen Crystal
1314: T7_ARTEFACT_2H_ICEGAUNTLETS_HELL                                 : Grandmaster's Icicle Orb
1315: T7_ARTEFACT_2H_INFERNOSTAFF_MORGANA                              : Grandmaster's Unholy Scroll
1316: T7_ARTEFACT_2H_IRONGAUNTLETS_HELL                                : Grandmaster's Black Leather
1317: T7_ARTEFACT_2H_LONGBOW_UNDEAD                                    : Grandmaster's Ghastly Arrows
1318: T7_ARTEFACT_2H_MACE_MORGANA                                      : Grandmaster's Imbued Mace Head
1319: T7_ARTEFACT_2H_NATURESTAFF_HELL                                  : Grandmaster's Symbol of Blight
1320: T7_ARTEFACT_2H_NATURESTAFF_KEEPER                                : Grandmaster's Preserved Log
1321: T7_ARTEFACT_2H_RAM_KEEPER                                        : Grandmaster's Engraved Log
1322: T7_ARTEFACT_2H_REPEATINGCROSSBOW_UNDEAD                          : Grandmaster's Lost Crossbow Mechanism
1323: T7_ARTEFACT_2H_ROCKSTAFF_KEEPER                                  : Grandmaster's Preserved Rocks
1324: T7_ARTEFACT_2H_SKULLORB_HELL                                     : Grandmaster's Cursed Jawbone
1325: T7_ARTEFACT_2H_TRIDENT_UNDEAD                                    : Grandmaster's Cursed Barbs
1326: T7_ARTEFACT_2H_TWINSCYTHE_HELL                                   : Grandmaster's Hellish Sicklehead Pair
1327: T7_ARTEFACT_MAIN_ARCANESTAFF_UNDEAD                              : Grandmaster's Lost Arcane Crystal
1328: T7_ARTEFACT_MAIN_CURSEDSTAFF_UNDEAD                              : Grandmaster's Lost Cursed Crystal
1329: T7_ARTEFACT_MAIN_FIRESTAFF_KEEPER                                : Grandmaster's Wildfire Orb
1330: T7_ARTEFACT_MAIN_FROSTSTAFF_KEEPER                               : Grandmaster's Hoarfrost Orb
1331: T7_ARTEFACT_MAIN_MACE_HELL                                       : Grandmaster's Infernal Mace Head
1332: T7_ARTEFACT_MAIN_NATURESTAFF_KEEPER                              : Grandmaster's Druidic Inscriptions
1333: T7_ARTEFACT_MAIN_RAPIER_MORGANA                                  : Grandmaster's Hardened Debole
1334: T7_ARTEFACT_MAIN_ROCKMACE_KEEPER                                 : Grandmaster's Runed Rock
1335: T7_ARTEFACT_MAIN_SCIMITAR_MORGANA                                : Grandmaster's Bloodforged Blade
1336: T7_ARTEFACT_MAIN_SPEAR_KEEPER                                    : Grandmaster's Keeper Spearhead
1337: T8_ARTEFACT_2H_ARCANESTAFF_HELL                                  : Elder's Occult Orb
1338: T8_ARTEFACT_2H_BOW_HELL                                          : Elder's Demonic Arrowheads
1339: T8_ARTEFACT_2H_BOW_KEEPER                                        : Elder's Carved Bone
1340: T8_ARTEFACT_2H_CLEAVER_HELL                                      : Elder's Demonic Blade
1341: T8_ARTEFACT_2H_COMBATSTAFF_MORGANA                               : Elder's Reinforced Morgana Pole
1342: T8_ARTEFACT_2H_CROSSBOWLARGE_MORGANA                             : Elder's Alluring Bolts
1343: T8_ARTEFACT_2H_DUALAXE_KEEPER                                    : Elder's Keeper Axeheads
1344: T8_ARTEFACT_2H_DUALCROSSBOW_HELL                                 : Elder's Hellish Bolts
1345: T8_ARTEFACT_2H_DUALHAMMER_HELL                                   : Elder's Hellish Hammer Heads
1346: T8_ARTEFACT_2H_DUALSCIMITAR_UNDEAD                               : Elder's Cursed Blades
1347: T8_ARTEFACT_2H_DUALSICKLE_UNDEAD                                 : Elder's Ghastly Blades
1348: T8_ARTEFACT_2H_ENIGMATICORB_MORGANA                              : Elder's Possessed Catalyst
1349: T8_ARTEFACT_2H_FIRESTAFF_HELL                                    : Elder's Burning Orb
1350: T8_ARTEFACT_2H_HALBERD_MORGANA                                   : Elder's Morgana Halberd Head
1351: T8_ARTEFACT_2H_HAMMER_UNDEAD                                     : Elder's Ancient Hammer Head
1352: T8_ARTEFACT_2H_HARPOON_HELL                                      : Elder's Infernal Harpoon Tip
1353: T8_ARTEFACT_MAIN_HOLYSTAFF_MORGANA                               : Elder's Possessed Scroll
1354: T8_ARTEFACT_2H_HOLYSTAFF_HELL                                    : Elder's Infernal Scroll
1355: T8_ARTEFACT_2H_HOLYSTAFF_UNDEAD                                  : Elder's Ghastly Scroll
1356: T8_ARTEFACT_2H_ICECRYSTAL_UNDEAD                                 : Elder's Cursed Frozen Crystal
1357: T8_ARTEFACT_2H_ICEGAUNTLETS_HELL                                 : Elder's Icicle Orb
1358: T8_ARTEFACT_2H_INFERNOSTAFF_MORGANA                              : Elder's Unholy Scroll
1359: T8_ARTEFACT_2H_IRONGAUNTLETS_HELL                                : Elder's Black Leather
1360: T8_ARTEFACT_2H_LONGBOW_UNDEAD                                    : Elder's Ghastly Arrows
1361: T8_ARTEFACT_2H_MACE_MORGANA                                      : Elder's Imbued Mace Head
1362: T8_ARTEFACT_2H_NATURESTAFF_HELL                                  : Elder's Symbol of Blight
1363: T8_ARTEFACT_2H_NATURESTAFF_KEEPER                                : Elder's Preserved Log
1364: T8_ARTEFACT_2H_RAM_KEEPER                                        : Elder's Engraved Log
1365: T8_ARTEFACT_2H_REPEATINGCROSSBOW_UNDEAD                          : Elder's Lost Crossbow Mechanism
1366: T8_ARTEFACT_2H_ROCKSTAFF_KEEPER                                  : Elder's Preserved Rocks
1367: T8_ARTEFACT_2H_SKULLORB_HELL                                     : Elder's Cursed Jawbone
1368: T8_ARTEFACT_2H_TRIDENT_UNDEAD                                    : Elder's Cursed Barbs
1369: T8_ARTEFACT_2H_TWINSCYTHE_HELL                                   : Elder's Hellish Sicklehead Pair
1370: T8_ARTEFACT_MAIN_ARCANESTAFF_UNDEAD                              : Elder's Lost Arcane Crystal
1371: T8_ARTEFACT_MAIN_CURSEDSTAFF_UNDEAD                              : Elder's Lost Cursed Crystal
1372: T8_ARTEFACT_MAIN_FIRESTAFF_KEEPER                                : Elder's Wildfire Orb
1373: T8_ARTEFACT_MAIN_FROSTSTAFF_KEEPER                               : Elder's Hoarfrost Orb
1374: T8_ARTEFACT_MAIN_MACE_HELL                                       : Elder's Infernal Mace Head
1375: T8_ARTEFACT_MAIN_NATURESTAFF_KEEPER                              : Elder's Druidic Inscriptions
1376: T8_ARTEFACT_MAIN_RAPIER_MORGANA                                  : Elder's Hardened Debole
1377: T8_ARTEFACT_MAIN_ROCKMACE_KEEPER                                 : Elder's Runed Rock
1378: T8_ARTEFACT_MAIN_SCIMITAR_MORGANA                                : Elder's Bloodforged Blade
1379: T8_ARTEFACT_MAIN_SPEAR_KEEPER                                    : Elder's Keeper Spearhead
1380: T4_ARTEFACT_2H_DAGGER_KATAR_AVALON                               : Adept's Bloodstained Antiquities
1381: T4_ARTEFACT_MAIN_SPEAR_LANCE_AVALON                              : Adept's Ruined Ancestral Vamplate
1382: T4_ARTEFACT_2H_AXE_AVALON                                        : Adept's Avalonian Battle Memoir
1383: T4_ARTEFACT_2H_CLAYMORE_AVALON                                   : Adept's Remnants of the Old King
1384: T4_ARTEFACT_2H_QUARTERSTAFF_AVALON                               : Adept's Timeworn Walking Staff
1385: T4_ARTEFACT_2H_HAMMER_AVALON                                     : Adept's Massive Metallic Hand
1386: T4_ARTEFACT_2H_DUALMACE_AVALON                                   : Adept's Broken Oaths
1387: T4_ARTEFACT_2H_BOW_AVALON                                        : Adept's Immaculately Crafted Riser
1388: T4_ARTEFACT_2H_CROSSBOW_CANNON_AVALON                            : Adept's Humming Avalonian Whirligig
1389: T4_ARTEFACT_MAIN_CURSEDSTAFF_AVALON                              : Adept's Fractured Opaque Orb
1390: T4_ARTEFACT_2H_FIRE_RINGPAIR_AVALON                              : Adept's Glowing Harmonic Ring
1391: T4_ARTEFACT_MAIN_FROSTSTAFF_AVALON                               : Adept's Chilled Crystalline Shard
1392: T4_ARTEFACT_2H_ARCANE_RINGPAIR_AVALON                            : Adept's Hypnotic Harmonic Ring
1393: T4_ARTEFACT_MAIN_HOLYSTAFF_AVALON                                : Adept's Messianic Curio
1394: T4_ARTEFACT_MAIN_NATURESTAFF_AVALON                              : Adept's Uprooted Perennial Sapling
1395: T5_ARTEFACT_2H_DAGGER_KATAR_AVALON                               : Expert's Bloodstained Antiquities
1396: T5_ARTEFACT_MAIN_SPEAR_LANCE_AVALON                              : Expert's Ruined Ancestral Vamplate
1397: T5_ARTEFACT_2H_AXE_AVALON                                        : Expert's Avalonian Battle Memoir
1398: T5_ARTEFACT_2H_CLAYMORE_AVALON                                   : Expert's Remnants of the Old King
1399: T5_ARTEFACT_2H_QUARTERSTAFF_AVALON                               : Expert's Timeworn Walking Staff
1400: T5_ARTEFACT_2H_HAMMER_AVALON                                     : Expert's Massive Metallic Hand
1401: T5_ARTEFACT_2H_DUALMACE_AVALON                                   : Expert's Broken Oaths
1402: T5_ARTEFACT_2H_BOW_AVALON                                        : Expert's Immaculately Crafted Riser
1403: T5_ARTEFACT_2H_CROSSBOW_CANNON_AVALON                            : Expert's Humming Avalonian Whirligig
1404: T5_ARTEFACT_MAIN_CURSEDSTAFF_AVALON                              : Expert's Fractured Opaque Orb
1405: T5_ARTEFACT_2H_FIRE_RINGPAIR_AVALON                              : Expert's Glowing Harmonic Ring
1406: T5_ARTEFACT_MAIN_FROSTSTAFF_AVALON                               : Expert's Chilled Crystalline Shard
1407: T5_ARTEFACT_2H_ARCANE_RINGPAIR_AVALON                            : Expert's Hypnotic Harmonic Ring
1408: T5_ARTEFACT_MAIN_HOLYSTAFF_AVALON                                : Expert's Messianic Curio
1409: T5_ARTEFACT_MAIN_NATURESTAFF_AVALON                              : Expert's Uprooted Perennial Sapling
1410: T6_ARTEFACT_2H_DAGGER_KATAR_AVALON                               : Master's Bloodstained Antiquities
1411: T6_ARTEFACT_MAIN_SPEAR_LANCE_AVALON                              : Master's Ruined Ancestral Vamplate
1412: T6_ARTEFACT_2H_AXE_AVALON                                        : Master's Avalonian Battle Memoir
1413: T6_ARTEFACT_2H_CLAYMORE_AVALON                                   : Master's Remnants of the Old King
1414: T6_ARTEFACT_2H_QUARTERSTAFF_AVALON                               : Master's Timeworn Walking Staff
1415: T6_ARTEFACT_2H_HAMMER_AVALON                                     : Master's Massive Metallic Hand
1416: T6_ARTEFACT_2H_DUALMACE_AVALON                                   : Master's Broken Oaths
1417: T6_ARTEFACT_2H_BOW_AVALON                                        : Master's Immaculately Crafted Riser
1418: T6_ARTEFACT_2H_CROSSBOW_CANNON_AVALON                            : Master's Humming Avalonian Whirligig
1419: T6_ARTEFACT_MAIN_CURSEDSTAFF_AVALON                              : Master's Fractured Opaque Orb
1420: T6_ARTEFACT_2H_FIRE_RINGPAIR_AVALON                              : Master's Glowing Harmonic Ring
1421: T6_ARTEFACT_MAIN_FROSTSTAFF_AVALON                               : Master's Chilled Crystalline Shard
1422: T6_ARTEFACT_2H_ARCANE_RINGPAIR_AVALON                            : Master's Hypnotic Harmonic Ring
1423: T6_ARTEFACT_MAIN_HOLYSTAFF_AVALON                                : Master's Messianic Curio
1424: T6_ARTEFACT_MAIN_NATURESTAFF_AVALON                              : Master's Uprooted Perennial Sapling
1425: T7_ARTEFACT_2H_DAGGER_KATAR_AVALON                               : Grandmaster's Bloodstained Antiquities
1426: T7_ARTEFACT_MAIN_SPEAR_LANCE_AVALON                              : Grandmaster's Ruined Ancestral Vamplate
1427: T7_ARTEFACT_2H_AXE_AVALON                                        : Grandmaster's Avalonian Battle Memoir
1428: T7_ARTEFACT_2H_CLAYMORE_AVALON                                   : Grandmaster's Remnants of the Old King
1429: T7_ARTEFACT_2H_QUARTERSTAFF_AVALON                               : Grandmaster's Timeworn Walking Staff
1430: T7_ARTEFACT_2H_HAMMER_AVALON                                     : Grandmaster's Massive Metallic Hand
1431: T7_ARTEFACT_2H_DUALMACE_AVALON                                   : Grandmaster's Broken Oaths
1432: T7_ARTEFACT_2H_BOW_AVALON                                        : Grandmaster's Immaculately Crafted Riser
1433: T7_ARTEFACT_2H_CROSSBOW_CANNON_AVALON                            : Grandmaster's Humming Avalonian Whirligig
1434: T7_ARTEFACT_MAIN_CURSEDSTAFF_AVALON                              : Grandmaster's Fractured Opaque Orb
1435: T7_ARTEFACT_2H_FIRE_RINGPAIR_AVALON                              : Grandmaster's Glowing Harmonic Ring
1436: T7_ARTEFACT_MAIN_FROSTSTAFF_AVALON                               : Grandmaster's Chilled Crystalline Shard
1437: T7_ARTEFACT_2H_ARCANE_RINGPAIR_AVALON                            : Grandmaster's Hypnotic Harmonic Ring
1438: T7_ARTEFACT_MAIN_HOLYSTAFF_AVALON                                : Grandmaster's Messianic Curio
